정류소ID,정류소번호,정류소명,X좌표,Y좌표
100900029,01513,평화동물병원,126.9652007897,37.6049806084
100900188,01514,적십자병원후문앞,126.9652272769,37.5675295356
100900202,01515,서울성곽.성대후문,126.9896320737,37.5892576959
100900026,01516,빨래터,126.9893714358,37.582659895
100900025,01517,세검초등학교,126.9614907597,37.6042522792
100900024,01518,삼청동주민센터,126.9819071619,37.5842638281
100900020,01519,통인시장,126.9687504304,37.5804530718
100900021,01520,양현관,126.9936043615,37.5897914226
100900017,01521,국민생활관,126.9988619666,37.5897456349
100900016,01522,오거리,126.9622629001,37.6070621164
100900015,01523,경희궁자이2.3단지,126.9640686009,37.5687871134
100900013,01524,창신쌍용2단지.한성대후문,127.0127581151,37.5812647965
100900045,01525,통일부,126.9859476734,37.5875948053
100900011,01526,원서고개,126.9878088426,37.583080553
100900185,01527,구기동,126.9591855785,37.6069799945
100900009,01528,종로5가입구.혜화경찰서,126.997541081,37.571747236
100900007,01529,삼청파출소,126.9812510491,37.581813662
100900005,01530,오거리,126.9695411172,37.5794963204
100900046,01531,명륜시장.성대후문,126.9952543092,37.5885110529
100900003,01532,혜화초등학교,126.9998516643,37.5872532276
100900072,01533,청련사입구,126.9624312007,37.6079803769
100900071,01534,영천시장,126.9628351888,37.5700050081
100900070,01535,명신초.삼선푸르지오.힐스테이트,127.014556281,37.5821062067
100900069,01536,감사원,126.9852900569,37.5862106518
100900068,01537,중앙중고,126.986965299,37.583092177
100900067,01538,인왕빌딩,126.9577443332,37.6079283311
100900066,01539,종로4가.종묘공원,126.9944624378,37.570632807
100900174,01540,국립민속박물관,126.9795533717,37.5792551846
100900065,01541,새마을금고앞,126.9711466491,37.5793687689
100900064,01542,새마을금고,126.996518051,37.5877370613
100900063,01543,혜화우체국,127.0006137149,37.5860376565
100900062,01544,언덕앞,126.9637921715,37.6089539753
100900061,01545,경희궁자이4단지,126.9621148375,37.5707022242
100900060,01546,종로센트레빌후문.e편한세상보문아파트,127.0161855253,37.5817743934
100900059,01547,사우디대사관앞.경남빌라,126.9850311776,37.5841056738
100900058,01548,안국선원.삼거리,126.984994076,37.5827909789
100900182,01549,구기터널입구,126.9567768927,37.6082046142
100900057,01550,종로3가.1.3.5호선,126.9921806628,37.5710729861
100900056,01551,경복궁,126.9793377561,37.576950157
100900055,01552,경복궁역,126.9722764647,37.5766774815
100900054,01553,소나무집,126.964110466,37.6112770717
100900186,01554,독립문역3번출구,126.9597453483,37.5728784775
100900053,01555,청룡사.보문파크뷰자이아파트,127.01700714,37.5800189539
100900052,01556,북촌한옥마을.돈미약국,126.9849422317,37.5815997311
100900183,01557,마트앞,126.9586668762,37.6069014195
100900051,01558,창덕궁,126.9906200153,37.5760892484
100900175,01559,세종문화회관,126.9765789285,37.5724108452
100900193,01560,혜화역3번출구,127.0019214153,37.5812159103
